Total_N,TN,FP,FN,TP,Test_PVCs,Test_Normals,Accuracy,Sensitivity,Specificity,Precision,F1_Score,Balanced_Accuracy,Test_Patient,Train_N,Test_N,Tree_Depth
2513,2342,133,26,12,38,2475,93.67290091524076,31.57894736842105,94.62626262626263,8.275862068965518,13.114754098360656,63.10260499734184,105,34274,2513,8
1976,1455,1,59,461,520,1456,96.96356275303644,88.65384615384615,99.93131868131869,99.78354978354979,93.89002036659878,94.29258241758242,106,34811,1976,8
1916,1492,0,2,422,424,1492,99.89561586638831,99.52830188679245,100.0,100.0,99.76359338061465,99.76415094339623,119,34871,1916,8
2488,1687,5,30,766,796,1692,98.59324758842443,96.23115577889448,99.70449172576832,99.3514915693904,97.76643267389917,97.9678237523314,200,34299,2488,8
1772,1574,0,106,92,198,1574,94.01805869074492,46.464646464646464,100.0,100.0,63.44827586206897,73.23232323232324,201,35015,1772,8
2918,1834,644,1,439,440,2478,77.89581905414667,99.77272727272727,74.01129943502825,40.53554939981533,57.64937623112279,86.89201335387776,203,33869,2918,8
2591,2520,0,2,69,71,2520,99.92280972597453,97.1830985915493,100.0,100.0,98.57142857142858,98.59154929577466,205,34196,2591,8
2501,1528,7,4,962,966,1535,99.56017592962814,99.58592132505176,99.54397394136808,99.27760577915376,99.43152454780362,99.56494763320993,208,34286,2501,8
2561,2368,4,22,167,189,2372,98.98477157360406,88.35978835978835,99.83136593591905,97.6608187134503,92.77777777777779,94.0955771478537,210,34226,2561,8
2810,2537,53,109,111,220,2590,94.23487544483986,50.45454545454545,97.95366795366796,67.6829268292683,57.8125,74.2041067041067,213,33977,2810,8
3305,3129,15,22,139,161,3144,98.8804841149773,86.33540372670807,99.52290076335878,90.25974025974025,88.25396825396825,92.92915224503342,215,33482,3305,8
2094,2031,0,11,52,63,2031,99.47468958930277,82.53968253968253,100.0,100.0,90.43478260869566,91.26984126984127,219,34693,2094,8
2366,1980,0,2,384,386,1980,99.91546914623838,99.48186528497409,100.0,100.0,99.74025974025975,99.74093264248705,221,34421,2366,8
1988,1486,151,10,341,351,1637,91.90140845070422,97.15099715099716,90.77580940745266,69.3089430894309,80.90154211150652,93.9634032792249,228,34799,1988,8
2988,2176,3,101,708,809,2179,96.5194109772423,87.51545117428925,99.86232216613125,99.57805907172997,93.15789473684211,93.68888667021025,233,33799,2988,8
