Patient,Train_N,Test_N,Accuracy,Sensitivity,Specificity,Precision,F1_Score,Balanced_Accuracy,Tree_Depth,TN,FP,FN,TP
105,1759,754,100.0,100.0,100.0,100.0,100.0,100.0,5,746,0,0,8
106,1383,593,100.0,100.0,100.0,100.0,100.0,100.0,2,390,0,0,203
119,1341,575,100.0,100.0,100.0,100.0,100.0,100.0,2,431,0,0,144
200,1741,747,98.79518072289156,97.03703703703704,99.79035639412997,99.61977186311786,98.31144465290807,98.41369671558351,6,476,1,8,262
201,1240,532,100.0,100.0,100.0,100.0,100.0,100.0,1,502,0,0,30
203,2042,876,98.51598173515981,93.33333333333333,99.22178988326849,94.23076923076923,93.77990430622009,96.27756160830091,8,765,6,7,98
205,1813,778,100.0,100.0,100.0,100.0,100.0,100.0,1,738,0,0,40
208,1750,751,99.6005326231691,98.83268482490273,100.0,100.0,99.412915851272,99.41634241245137,2,494,0,3,254
210,1792,769,100.0,100.0,100.0,100.0,100.0,100.0,6,714,0,0,55
213,1966,844,99.76303317535546,96.875,100.0,100.0,98.4126984126984,98.4375,3,780,0,2,62
215,2313,992,99.79838709677419,96.15384615384616,100.0,100.0,98.0392156862745,98.07692307692308,2,940,0,2,50
219,1465,629,99.84101748807632,95.23809523809523,100.0,100.0,97.5609756097561,97.61904761904762,3,608,0,1,20
221,1656,710,100.0,100.0,100.0,100.0,100.0,100.0,1,645,0,0,65
228,1391,597,99.32998324958125,96.58119658119658,100.0,100.0,98.26086956521739,98.2905982905983,3,480,0,4,113
233,2091,897,99.66555183946488,98.85931558935361,100.0,100.0,99.4263862332696,99.42965779467681,4,634,0,3,260
